,Dalc,Fedu,G1,G2,G3,Medu,Pstatus,Walc,absences,activities,age,failures,famrel,famsize,famsup,freetime,goout,health,higher,internet,location,nursery,paid,romantic,school,schoolsup,sex,study_time,traveltime
15,1,4,14,14,14,4,T,2,4,no,16,0,4,GT3,yes,4,4,2,yes,yes,Urban,yes,no,no,GP,no,F,<2 hours,1
16,1,4,13,14,14,4,T,2,6,yes,16,0,3,GT3,yes,2,3,2,yes,yes,Urban,yes,yes,no,GP,,F,5 to 10 hours,1
17,1,3,8,10,10,3,T,1,4,yes,16,0,5,GT3,yes,3,2,4,yes,no,Urban,yes,no,no,GP,yes,F,2 to 5 hours,3
18,2,2,6,5,5,3,T,4,16,yes,17,3,5,GT3,yes,5,5,5,yes,yes,Urban,yes,no,no,GP,no,M,<2 hours,1
19,1,3,8,10,10,4,T,3,4,yes,16,0,3,LE3,no,1,3,5,yes,yes,Urban,yes,yes,no,GP,,M,<2 hours,1
20,1,3,13,14,15,4,T,1,0,no,15,0,4,GT3,no,4,1,1,yes,yes,Urban,yes,no,no,GP,no,M,2 to 5 hours,1
21,1,4,12,15,15,4,T,1,0,no,15,0,5,GT3,yes,4,2,5,yes,yes,Urban,yes,yes,no,GP,,M,<2 hours,1
22,1,2,15,15,16,4,T,3,2,yes,16,0,4,LE3,no,5,1,5,yes,yes,Urban,yes,no,no,GP,no,M,2 to 5 hours,
23,2,2,13,13,12,2,T,4,0,yes,16,0,5,LE3,yes,4,4,5,yes,yes,Urban,yes,no,no,GP,,M,2 to 5 hours,2
24,1,4,10,9,8,2,T,1,2,yes,15,0,4,GT3,yes,3,2,5,yes,yes,Rural,yes,yes,no,GP,,F,5 to 10 hours,1
25,1,2,6,9,8,2,T,3,14,no,16,2,1,GT3,yes,2,2,5,yes,yes,Urban,no,yes,no,GP,,F,<2 hours,1
26,1,2,12,12,11,2,T,2,2,no,15,0,4,GT3,yes,2,2,5,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,
27,2,2,15,16,15,4,T,4,4,no,15,0,2,GT3,no,2,4,1,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,
28,1,4,11,11,11,3,A,1,4,yes,16,0,5,LE3,yes,3,3,5,yes,yes,Urban,,no,no,GP,yes,M,2 to 5 hours,
29,5,4,10,12,11,4,T,5,16,yes,16,0,4,GT3,yes,4,5,5,yes,yes,Urban,,yes,yes,GP,no,M,2 to 5 hours,
30,3,4,9,11,12,4,T,4,0,no,15,0,5,GT3,yes,4,2,5,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,1
31,1,4,17,16,17,4,T,1,0,yes,15,0,4,GT3,yes,3,1,5,yes,yes,Urban,,no,no,GP,,M,2 to 5 hours,2
32,1,3,17,16,16,4,T,1,0,yes,15,0,4,GT3,yes,5,2,5,yes,yes,Rural,,no,yes,GP,no,M,2 to 5 hours,1
33,1,3,8,10,12,3,T,1,0,yes,15,0,5,LE3,no,3,2,2,yes,yes,Urban,,no,no,GP,no,M,2 to 5 hours,1
34,1,2,12,14,15,3,T,1,0,no,16,0,5,GT3,yes,4,3,5,yes,yes,Urban,,yes,no,GP,,M,<2 hours,1
35,1,3,8,7,6,2,T,1,0,yes,15,0,3,GT3,yes,5,1,5,yes,no,Urban,,no,no,GP,no,F,<2 hours,2
36,1,3,15,16,18,4,T,1,2,yes,15,0,5,LE3,yes,4,3,4,yes,yes,Urban,,no,no,GP,,M,5 to 10 hours,1
37,1,4,15,16,15,4,A,1,7,yes,16,0,2,GT3,yes,4,3,5,yes,yes,Rural,,no,yes,GP,no,M,5 to 10 hours,2
38,1,4,12,12,11,3,T,1,2,yes,15,0,4,GT3,yes,3,2,5,yes,yes,Rural,,yes,no,GP,yes,F,5 to 10 hours,1
39,1,2,14,13,13,2,T,1,8,yes,15,0,4,GT3,yes,3,1,2,yes,no,Rural,,yes,no,GP,,F,<2 hours,1
40,1,2,7,10,11,2,T,2,25,yes,16,1,3,LE3,yes,3,3,3,yes,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,2
41,2,4,12,12,12,4,T,4,8,no,15,0,5,LE3,yes,4,3,5,yes,yes,Urban,,no,yes,GP,no,M,<2 hours,1
42,1,4,19,18,18,4,T,1,2,yes,15,0,4,GT3,yes,3,3,5,yes,yes,Urban,,no,no,GP,,M,2 to 5 hours,1
43,1,2,8,8,11,2,T,1,0,no,15,0,5,GT3,yes,4,1,1,yes,yes,Urban,,no,no,GP,,M,<2 hours,1
44,2,2,10,10,9,2,T,2,14,yes,16,1,4,LE3,no,3,3,5,yes,yes,Urban,,no,no,GP,,F,2 to 5 hours,2
45,1,3,8,8,6,4,A,1,8,yes,15,0,5,LE3,yes,2,2,5,yes,yes,Urban,,yes,yes,GP,yes,F,2 to 5 hours,1
46,1,3,11,12,11,3,A,4,12,no,16,0,2,LE3,yes,3,5,3,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
47,1,3,19,19,20,4,T,1,4,yes,16,0,4,GT3,no,2,2,2,yes,yes,Urban,,no,no,GP,no,M,>10 hours,1
48,2,2,15,15,14,4,T,2,2,no,15,0,4,GT3,yes,3,3,5,yes,no,Urban,,yes,no,GP,no,M,2 to 5 hours,1
49,1,4,7,7,7,4,T,1,2,yes,15,1,4,GT3,yes,4,4,3,yes,yes,Urban,,no,no,GP,yes,F,2 to 5 hours,1
50,2,2,12,13,13,2,T,3,2,no,16,0,4,LE3,yes,3,3,4,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,3
51,1,2,11,13,13,4,T,1,2,no,15,0,4,LE3,yes,3,3,5,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
52,3,2,11,11,10,4,A,4,6,no,15,1,5,LE3,no,5,5,5,yes,no,Urban,,no,no,GP,no,M,<2 hours,2
53,2,4,8,10,11,4,T,3,0,no,15,0,3,GT3,yes,3,4,5,yes,yes,Urban,,yes,no,GP,yes,F,<2 hours,1
54,4,3,10,13,13,3,A,4,6,no,15,0,5,LE3,no,3,4,1,yes,yes,Urban,,yes,no,GP,no,F,<2 hours,1
55,1,1,8,9,10,2,A,1,8,yes,16,0,5,GT3,no,3,4,2,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,1
56,1,3,14,15,15,4,A,1,0,yes,15,0,4,GT3,yes,3,2,1,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
57,1,4,14,15,15,4,T,1,4,yes,15,0,3,GT3,yes,2,2,5,yes,no,Urban,,no,no,GP,no,M,2 to 5 hours,1
58,1,2,9,10,9,1,T,1,2,yes,15,0,4,LE3,yes,3,2,5,yes,yes,Urban,,no,no,GP,yes,M,2 to 5 hours,1
59,1,2,15,16,16,4,T,1,2,no,16,0,4,GT3,yes,2,3,5,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
60,2,4,10,11,11,4,T,3,6,yes,16,0,2,GT3,yes,4,4,4,yes,no,Rural,,no,no,GP,no,F,2 to 5 hours,1
61,5,1,10,8,11,1,T,5,6,yes,16,0,5,GT3,yes,5,5,5,yes,yes,Urban,,no,yes,GP,yes,F,<2 hours,4
62,1,2,8,10,9,1,T,1,4,yes,16,0,4,LE3,no,4,3,1,yes,yes,Urban,,no,no,GP,yes,F,2 to 5 hours,1
63,2,3,10,9,9,4,T,4,2,yes,16,0,3,GT3,yes,4,4,4,yes,yes,Urban,,yes,no,GP,yes,F,5 to 10 hours,1
64,2,3,10,10,10,4,T,4,0,yes,15,0,4,LE3,no,4,4,2,yes,yes,Urban,,no,yes,GP,yes,F,2 to 5 hours,1
65,1,3,16,15,15,4,T,2,2,yes,16,0,5,LE3,yes,4,3,1,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,3
66,5,4,13,13,12,4,A,5,4,yes,15,0,1,GT3,yes,3,3,3,yes,yes,Urban,,no,yes,GP,no,M,>10 hours,1
67,1,1,7,7,6,3,T,2,4,no,16,0,4,GT3,yes,3,3,5,yes,yes,Urban,,yes,no,GP,yes,F,>10 hours,1
68,1,2,8,9,8,2,T,3,2,no,15,0,4,LE3,yes,1,3,4,yes,yes,Rural,,yes,no,GP,yes,F,2 to 5 hours,2
69,2,1,16,16,16,3,T,3,12,no,15,0,4,LE3,yes,4,2,3,yes,yes,Rural,,no,no,GP,no,F,>10 hours,2
70,1,1,13,15,15,3,T,1,0,no,16,0,4,GT3,yes,3,2,5,yes,yes,Urban,,yes,no,GP,no,M,>10 hours,2
71,1,2,10,10,10,4,T,1,0,no,15,0,3,GT3,no,3,3,3,yes,yes,Urban,,no,no,GP,no,M,>10 hours,1
72,2,1,8,6,5,1,T,4,2,no,15,2,3,GT3,yes,3,4,5,yes,yes,Rural,,no,yes,GP,yes,F,2 to 5 hours,1
73,2,1,12,12,14,3,T,2,2,yes,16,0,5,GT3,no,3,2,5,yes,no,Urban,,no,no,GP,no,M,<2 hours,1
74,2,3,11,12,11,3,T,4,54,yes,16,0,4,GT3,yes,3,3,5,yes,yes,Urban,,yes,no,GP,yes,F,2 to 5 hours,1
75,2,3,9,9,10,4,T,3,6,yes,15,0,4,GT3,yes,3,3,5,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,1
76,1,0,11,11,10,4,T,1,8,yes,15,0,3,GT3,no,4,3,1,yes,yes,Urban,,no,no,GP,no,M,>10 hours,2
77,1,2,11,11,11,2,T,3,0,no,16,0,5,GT3,no,2,3,3,yes,yes,Urban,,yes,yes,GP,no,F,>10 hours,1
78,1,1,8,8,10,2,T,1,2,yes,17,3,4,GT3,yes,5,1,3,no,yes,Urban,,no,no,GP,yes,M,<2 hours,2
79,1,4,5,5,5,3,T,2,12,no,16,0,2,GT3,yes,4,3,3,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
80,1,3,10,12,12,2,T,3,2,yes,15,0,3,GT3,yes,2,2,3,yes,yes,Urban,,yes,yes,GP,yes,M,<2 hours,1
81,1,3,11,10,11,2,T,2,4,no,15,0,5,GT3,no,3,2,5,yes,yes,Urban,,yes,no,GP,yes,M,5 to 10 hours,1
82,1,2,7,6,6,3,T,1,10,no,15,0,4,LE3,yes,4,4,5,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
83,1,2,15,15,15,2,T,3,4,yes,15,0,5,LE3,no,3,3,4,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,2
84,2,1,9,10,10,1,T,3,2,yes,15,0,4,GT3,yes,3,2,4,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
85,2,4,7,9,8,4,T,3,6,no,15,2,4,GT3,no,4,4,5,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,2
86,1,2,8,7,6,2,T,2,4,no,16,0,4,LE3,yes,3,4,2,yes,no,Urban,,no,no,GP,no,F,2 to 5 hours,1
87,1,2,13,14,14,4,T,3,4,yes,15,0,5,GT3,yes,3,3,1,yes,yes,Urban,,no,no,GP,no,F,5 to 10 hours,1
88,1,2,11,10,10,2,T,1,12,yes,16,1,4,GT3,no,4,2,3,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,2
89,3,4,8,6,7,4,A,5,18,no,16,0,4,LE3,yes,1,3,5,yes,no,Urban,,no,no,GP,no,M,2 to 5 hours,1
90,1,3,7,7,8,3,T,3,0,no,16,0,4,GT3,yes,3,3,4,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
91,1,3,16,17,18,4,T,3,4,yes,15,0,4,GT3,no,5,5,1,yes,yes,Urban,,yes,no,GP,no,F,<2 hours,1
92,2,1,7,6,6,3,T,3,4,no,16,0,3,LE3,yes,3,3,2,yes,no,Urban,,no,no,GP,yes,F,2 to 5 hours,1
93,1,2,11,10,10,4,T,1,0,yes,16,0,5,GT3,yes,3,3,1,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,2
94,1,2,11,13,14,2,T,1,6,yes,15,0,4,LE3,yes,3,4,4,yes,yes,Urban,,no,no,GP,no,M,>10 hours,1
95,1,1,7,10,10,1,T,1,2,yes,15,1,3,GT3,yes,1,2,1,yes,yes,Rural,,yes,no,GP,yes,F,>10 hours,2
96,1,3,11,15,15,4,T,1,2,yes,16,0,3,GT3,yes,3,3,4,yes,yes,Rural,,no,no,GP,yes,M,<2 hours,2
97,1,1,8,9,10,2,T,1,2,no,16,0,4,GT3,yes,3,5,5,yes,no,Urban,,yes,yes,GP,no,F,2 to 5 hours,1
98,1,4,11,14,14,4,T,2,6,yes,16,0,5,GT3,no,3,4,1,yes,yes,Urban,,no,no,GP,no,F,<2 hours,1
99,1,3,7,9,8,4,T,1,0,no,16,0,5,GT3,yes,3,5,3,yes,yes,Urban,,yes,no,GP,yes,F,5 to 10 hours,1
100,5,4,7,7,5,4,T,5,14,yes,16,0,4,GT3,yes,5,5,4,yes,yes,Urban,,yes,no,GP,yes,M,<2 hours,1
101,1,4,16,17,17,4,T,1,0,yes,16,0,4,GT3,yes,4,3,4,yes,yes,Urban,,no,yes,GP,no,M,5 to 10 hours,1
102,1,4,10,13,14,4,T,1,4,yes,15,0,5,GT3,yes,3,3,5,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
103,1,2,7,6,6,3,T,1,26,no,15,0,4,GT3,yes,3,5,2,yes,yes,Urban,,yes,no,GP,yes,F,2 to 5 hours,2
104,1,4,16,18,18,3,A,1,0,yes,15,0,5,GT3,yes,4,4,1,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,1
105,1,3,10,11,11,3,A,1,10,no,15,0,4,GT3,no,3,3,4,yes,no,Urban,,no,no,GP,yes,F,>10 hours,1
106,1,2,7,8,8,2,T,1,8,no,15,0,5,GT3,yes,1,2,3,yes,yes,Urban,,yes,no,GP,yes,F,>10 hours,1
107,1,3,16,18,18,3,T,1,2,yes,16,0,5,GT3,yes,3,3,5,yes,yes,Urban,,no,no,GP,no,M,5 to 10 hours,1
108,3,4,10,13,13,4,T,5,6,yes,15,0,1,GT3,yes,3,5,1,yes,yes,Rural,,yes,yes,GP,no,M,>10 hours,4
109,1,4,14,15,16,4,T,1,4,yes,16,0,5,LE3,yes,4,5,4,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
110,1,4,18,19,19,4,A,1,6,yes,15,0,5,LE3,no,5,3,4,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
111,1,3,7,10,10,3,T,1,0,yes,16,1,4,GT3,yes,1,2,2,yes,yes,Rural,,no,no,GP,yes,F,5 to 10 hours,1
112,1,2,10,13,13,2,T,1,6,yes,16,1,3,GT3,no,1,2,5,yes,yes,Urban,,no,no,GP,yes,F,2 to 5 hours,1
113,1,2,18,19,19,4,T,1,10,no,15,0,3,LE3,no,5,2,3,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
114,1,1,9,9,9,2,T,1,8,yes,15,0,5,GT3,no,4,2,5,yes,yes,Rural,,no,yes,GP,no,M,2 to 5 hours,1
115,1,4,15,15,16,4,T,2,2,yes,16,0,5,GT3,yes,4,4,5,yes,yes,Urban,,no,no,GP,no,M,2 to 5 hours,1
116,1,4,11,13,14,4,T,1,2,yes,15,0,4,GT3,yes,4,3,2,yes,no,Urban,,no,no,GP,no,M,2 to 5 hours,2
117,1,3,13,14,13,3,T,1,0,yes,16,0,5,GT3,no,4,2,5,yes,yes,Urban,,no,no,GP,no,M,<2 hours,2
118,1,3,9,7,8,1,T,4,20,yes,17,1,5,GT3,yes,2,4,5,yes,yes,Rural,,no,no,GP,no,M,2 to 5 hours,3
119,1,4,14,13,13,3,T,2,6,no,15,0,3,GT3,no,4,3,4,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
120,1,2,16,15,15,1,T,2,2,no,15,0,3,GT3,no,2,3,1,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
121,1,2,16,14,15,2,T,2,6,yes,15,0,5,GT3,yes,5,4,5,yes,yes,Urban,,yes,no,GP,no,M,>10 hours,1
122,1,4,13,13,13,2,T,2,2,yes,16,0,4,LE3,yes,2,2,5,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,2
123,1,4,14,11,13,4,T,4,18,yes,16,0,3,GT3,yes,4,4,5,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
124,1,2,8,7,8,2,T,1,0,no,16,0,5,GT3,no,4,4,5,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,1
125,3,4,13,13,12,3,T,2,0,no,15,0,5,GT3,no,5,5,5,yes,yes,Urban,,no,no,GP,yes,M,<2 hours,1
126,1,4,7,10,11,3,A,1,0,yes,15,0,5,LE3,no,3,2,1,yes,yes,Urban,yes,no,yes,GP,yes,F,2 to 5 hours,1
127,1,1,7,8,9,0,T,1,2,no,19,3,3,GT3,yes,4,2,5,no,no,Urban,no,no,no,GP,no,F,2 to 5 hours,1
128,1,2,7,4,0,2,T,2,0,yes,18,2,3,GT3,yes,3,3,4,yes,yes,Rural,yes,no,no,GP,no,M,<2 hours,1
129,2,4,18,18,18,4,T,5,8,yes,16,0,3,GT3,no,5,5,4,yes,yes,Rural,yes,yes,no,GP,no,M,<2 hours,1
130,2,4,12,0,0,3,T,2,0,no,15,2,4,GT3,yes,2,2,5,yes,yes,Rural,yes,no,yes,GP,no,F,5 to 10 hours,2
131,1,1,8,0,0,1,T,2,0,yes,15,0,4,GT3,yes,3,3,4,yes,yes,Urban,no,no,yes,GP,no,F,<2 hours,3
132,1,2,10,13,12,2,T,3,12,no,17,0,3,LE3,yes,4,4,5,yes,yes,Urban,yes,no,yes,GP,no,F,<2 hours,1
133,1,4,12,11,11,3,A,4,16,no,16,0,3,GT3,no,2,1,5,yes,yes,Urban,yes,no,no,GP,no,F,<2 hours,1
134,1,4,9,0,0,3,T,1,0,no,15,0,5,GT3,yes,3,3,5,yes,no,Rural,yes,no,yes,GP,no,M,2 to 5 hours,4
135,1,4,11,0,0,4,T,1,0,yes,15,0,4,GT3,yes,3,3,5,yes,yes,Urban,yes,no,yes,GP,no,F,5 to 10 hours,1
136,2,4,10,0,0,3,T,4,0,no,17,0,5,GT3,no,4,5,5,yes,no,Rural,yes,no,no,GP,no,M,2 to 5 hours,3
137,1,3,4,0,0,3,A,1,0,yes,16,2,4,GT3,yes,3,2,5,yes,yes,Urban,no,no,yes,GP,no,F,<2 hours,2
138,1,1,14,12,12,1,T,3,0,no,16,1,4,LE3,no,4,4,5,yes,no,Urban,yes,no,yes,GP,no,M,2 to 5 hours,1
139,1,4,16,16,15,4,T,1,0,yes,15,0,4,GT3,no,3,2,5,yes,yes,Urban,yes,no,no,GP,no,F,<2 hours,2
140,1,3,7,9,0,4,T,1,0,no,15,0,2,GT3,yes,2,2,3,yes,yes,Urban,yes,no,no,GP,yes,M,>10 hours,2
141,2,2,9,9,9,2,T,2,8,yes,16,2,2,LE3,yes,3,3,2,yes,yes,Urban,yes,no,no,GP,no,M,<2 hours,2
142,1,4,9,11,11,4,T,1,2,yes,15,0,4,GT3,yes,2,2,5,yes,yes,Urban,yes,yes,no,GP,no,F,5 to 10 hours,1
143,3,1,14,14,13,1,T,3,2,no,16,0,3,LE3,no,4,4,1,yes,yes,Urban,yes,no,no,GP,no,F,<2 hours,1
144,1,1,5,0,0,2,T,2,0,no,17,3,5,GT3,yes,4,5,5,yes,yes,Urban,yes,no,no,GP,no,M,<2 hours,1
145,1,1,8,11,11,1,T,2,0,no,15,0,4,GT3,yes,4,2,5,yes,yes,Urban,yes,yes,no,GP,no,F,2 to 5 hours,1
146,1,2,6,7,0,3,T,1,0,no,15,3,3,GT3,yes,3,2,3,yes,yes,Urban,yes,no,no,GP,no,F,2 to 5 hours,1
147,1,2,10,11,11,1,T,1,2,no,15,0,4,GT3,yes,3,2,5,yes,yes,Urban,no,yes,no,GP,no,F,2 to 5 hours,1
148,2,4,7,6,0,4,T,1,0,no,16,0,3,GT3,yes,3,2,5,no,yes,Urban,yes,no,yes,GP,no,M,<2 hours,1
149,2,1,8,9,10,2,A,5,0,no,15,3,4,LE3,no,5,5,5,yes,yes,Urban,yes,no,no,GP,no,M,<2 hours,4
150,2,1,6,5,0,1,T,5,0,no,18,3,2,LE3,no,3,5,4,no,yes,Urban,yes,no,yes,GP,no,M,<2 hours,1
151,3,1,12,13,14,2,T,5,6,yes,16,1,4,LE3,no,4,4,5,yes,no,Urban,yes,no,yes,GP,no,M,<2 hours,1
152,2,3,10,10,10,3,T,3,8,yes,15,2,4,GT3,yes,2,1,3,yes,yes,Rural,yes,yes,yes,GP,no,F,5 to 10 hours,2
153,1,2,5,0,0,3,T,1,0,no,19,3,4,GT3,yes,5,4,4,no,yes,Urban,yes,no,yes,GP,no,M,<2 hours,1
154,1,4,11,11,12,4,T,1,0,no,17,0,4,GT3,yes,2,1,4,yes,no,Urban,yes,no,yes,GP,yes,F,<2 hours,1
155,1,3,11,8,8,2,T,1,2,yes,15,0,4,GT3,no,4,4,1,yes,no,Rural,yes,yes,no,GP,yes,M,2 to 5 hours,1
156,3,2,16,12,13,1,T,3,8,no,17,0,2,LE3,no,2,2,5,yes,no,Rural,yes,no,no,GP,no,M,<2 hours,1
157,1,1,9,8,10,1,T,5,6,yes,18,3,5,GT3,yes,2,5,4,yes,no,Rural,no,no,no,GP,no,F,<2 hours,3
158,1,2,17,15,15,2,T,2,2,no,16,0,4,GT3,no,2,2,3,yes,no,Rural,no,no,no,GP,no,M,<2 hours,3
159,4,3,10,12,12,3,T,4,4,no,16,1,4,GT3,yes,5,5,5,yes,yes,Urban,yes,yes,yes,GP,no,M,2 to 5 hours,1
160,2,1,7,6,0,2,T,2,0,yes,17,2,3,LE3,no,3,2,5,no,yes,Rural,yes,no,yes,GP,no,M,<2 hours,2
161,1,2,5,9,7,3,T,4,6,no,15,2,4,GT3,yes,4,4,3,yes,yes,Rural,yes,no,yes,GP,yes,M,2 to 5 hours,2
162,2,2,7,0,0,1,T,4,0,yes,16,1,4,LE3,no,4,4,5,yes,no,Urban,yes,no,no,GP,no,M,<2 hours,2
163,1,3,10,10,10,1,T,4,2,no,17,0,5,GT3,no,3,3,2,no,yes,Urban,yes,no,no,GP,no,M,<2 hours,1
164,1,1,5,8,7,1,T,5,0,yes,17,3,5,LE3,no,3,5,5,no,no,Rural,yes,no,yes,GP,no,M,2 to 5 hours,4
165,1,2,12,11,12,3,T,1,16,yes,16,1,4,GT3,yes,5,2,2,no,no,Urban,no,no,no,GP,no,M,<2 hours,2
166,2,2,10,10,10,2,T,4,4,no,16,0,4,GT3,no,3,5,4,no,yes,Urban,yes,no,no,GP,no,M,2 to 5 hours,1
167,1,2,14,15,16,4,T,1,0,no,16,0,4,GT3,no,2,3,3,yes,yes,Urban,yes,yes,yes,GP,no,F,2 to 5 hours,1
168,1,2,6,7,0,2,T,1,0,no,16,0,5,GT3,yes,1,5,4,yes,yes,Urban,no,yes,no,GP,no,F,2 to 5 hours,1
169,1,4,14,14,14,4,T,1,0,no,16,0,4,GT3,yes,4,2,3,yes,yes,Urban,yes,yes,yes,GP,no,F,2 to 5 hours,1
170,2,4,6,5,0,3,T,4,0,yes,16,2,3,GT3,yes,4,5,2,yes,yes,Urban,no,no,no,GP,no,M,<2 hours,3
171,1,0,13,15,16,1,T,1,2,yes,16,0,4,GT3,yes,3,2,3,yes,yes,Urban,yes,yes,yes,GP,no,M,2 to 5 hours,2
172,1,4,13,11,10,4,T,3,0,yes,17,0,4,LE3,yes,4,4,5,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,1
173,1,3,8,7,0,1,T,1,0,yes,16,3,4,GT3,no,3,5,3,yes,yes,Urban,no,no,yes,GP,no,F,2 to 5 hours,1
174,1,3,10,11,9,3,T,1,4,yes,16,0,4,LE3,yes,4,5,4,yes,yes,Urban,yes,yes,no,GP,no,F,2 to 5 hours,2
175,4,3,10,9,9,4,T,4,4,yes,17,0,4,LE3,no,4,4,4,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,2
176,1,2,13,13,11,2,T,4,2,yes,16,0,3,GT3,no,4,4,5,yes,yes,Urban,no,yes,no,GP,no,F,2 to 5 hours,2
177,1,3,6,5,6,3,T,4,4,yes,17,0,4,GT3,no,3,4,4,yes,yes,Urban,no,no,no,GP,no,M,2 to 5 hours,1
178,3,2,10,8,9,4,T,4,10,yes,16,0,4,GT3,yes,3,3,3,yes,yes,Rural,yes,no,yes,GP,no,M,<2 hours,1
179,1,3,10,10,11,4,T,1,4,yes,17,0,5,GT3,yes,2,3,2,yes,yes,Urban,yes,no,yes,GP,no,M,2 to 5 hours,1
180,2,3,9,8,8,4,T,3,10,yes,16,0,3,GT3,yes,4,3,3,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,1
181,1,3,12,13,12,3,T,2,2,yes,16,0,4,GT3,no,2,3,3,yes,yes,Urban,yes,yes,yes,GP,no,M,2 to 5 hours,1
182,2,4,16,17,17,2,T,3,0,yes,17,0,5,GT3,yes,4,2,5,yes,no,Urban,yes,no,no,GP,no,F,2 to 5 hours,1
183,2,3,9,9,8,3,T,3,56,yes,17,0,5,LE3,yes,3,3,1,yes,yes,Urban,yes,no,yes,GP,no,F,2 to 5 hours,1
184,1,2,12,13,12,3,T,2,14,no,16,0,1,GT3,yes,2,2,1,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
